player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
Tiago Sá,pt POR,GK,pt Braga,26-041,1995,1.0,1.0,90.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
Məhəmmədəliyev Şahruddin Maqomedoviç,az AZE,GK,az Qarabağ Ağdam,26-254,1994,5.0,5.0,450.0,10.0,2.0,29.0,22.0,75.9,0.0,1.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0
Mamadou Samassa,ml MLI,GK,tr Sivasspor,31-005,1990,6.0,6.0,540.0,11.0,1.83,21.0,11.0,52.4,2.0,0.0,4.0,1.0,16.7,2.0,1.0,1.0,0.0
Grzegorz Sandomierski,pl POL,GK,ro CFR Cluj,31-169,1989,1.0,0.0,1.0,2.0,180.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Alexander Schlager,at AUT,GK,at LASK,25-020,1996,6.0,6.0,540.0,12.0,2.0,16.0,8.0,43.8,3.0,1.0,2.0,1.0,16.7,3.0,3.0,0.0,0.0
Kasper Schmeichel,dk DEN,GK,eng Leicester City,34-108,1986,5.0,5.0,450.0,4.0,0.8,16.0,12.0,75.0,3.0,2.0,0.0,3.0,60.0,0.0,0.0,0.0,0.0
Mykyta Shevchenko,ua UKR,GK,ua Zorya Luhansk,28-026,1993,4.0,4.0,360.0,9.0,2.25,18.0,10.0,50.0,1.0,0.0,3.0,1.0,25.0,0.0,0.0,0.0,0.0
Rui Silva,pt POR,GK,es Granada,27-014,1994,6.0,6.0,540.0,3.0,0.5,15.0,12.0,80.0,4.0,1.0,1.0,3.0,50.0,0.0,0.0,0.0,0.0
Cican Stankovic,at AUT,GK,at RB Salzburg,28-109,1992,1.0,1.0,90.0,2.0,2.0,3.0,1.0,33.3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Maarten Stekelenburg,nl NED,GK,nl Ajax,38-152,1982,1.0,1.0,90.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vladislav Stoyanov,bg BUL,GK,bg Ludogorets,33-258,1987,1.0,1.0,90.0,3.0,3.0,5.0,1.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Richard Strebinger,at AUT,GK,at Rapid Wien,28-007,1993,2.0,2.0,180.0,6.0,3.0,15.0,9.0,60.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Ciprian Tătărușanu,ro ROU,GK,it Milan,35-012,1986,2.0,2.0,180.0,0.0,0.0,4.0,4.0,100.0,2.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0
Anatolii Trubin,ua UKR,GK,ua Shakhtar,19-204,2001,1.0,1.0,90.0,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
Panagiotis Tsintotas,gr GRE,GK,gr AEK Athens,27-232,1993,5.0,5.0,450.0,12.0,2.4,31.0,20.0,64.5,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0
Nikola Vasilj,ba BIH,GK,ua Zorya Luhansk,25-081,1995,2.0,2.0,180.0,2.0,1.0,9.0,7.0,77.8,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0
Odisseas Vlachodimos,gr GRE,GK,pt Benfica,26-301,1994,4.0,4.0,360.0,5.0,1.25,16.0,11.0,68.8,3.0,1.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0
Danny Ward,wal WAL,GK,eng Leicester City,27-244,1993,2.0,2.0,180.0,1.0,0.5,3.0,2.0,66.7,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0
Alfie Whiteman,eng ENG,GK,eng Tottenham,22-142,1998,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Danijel Zagorac,hr CRO,GK,hr Dinamo Zagreb,34-014,1987,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
Živko Živković,rs SRB,GK,gr PAOK,31-313,1989,5.0,5.0,450.0,7.0,1.4,19.0,13.0,73.7,1.0,2.0,2.0,1.0,20.0,2.0,2.0,0.0,0.0
