player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Saido Berahino,bi BDI,"FW,MF",Charleroi,27-210,1993,13.0,5.0,567.0,2.0,0.0,0.0,0.0,1.0,0.0,0.32,0.0,0.32,0.32,0.32,6.3,11.0,4.0,36.4,1.75,0.63,0.18,0.5,0.0,8.0,7.0,0.0,2.0,7.0,5.0,0.0,0.0,0.0
Saido Berahino,bi BDI,"FW,MF",Zulte Waregem,27-210,1993,8.0,6.0,506.0,2.0,1.0,0.0,0.0,1.0,0.0,0.36,0.18,0.53,0.36,0.53,5.6,9.0,4.0,44.4,1.6,0.71,0.22,0.5,0.0,7.0,8.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0
Leonardo Bertone,ch SUI,MF,Waasland-Bev,26-353,1994,24.0,24.0,2146.0,1.0,2.0,0.0,0.0,4.0,0.0,0.04,0.08,0.13,0.04,0.13,23.8,36.0,9.0,25.0,1.51,0.38,0.03,0.11,0.0,26.0,16.0,1.0,20.0,39.0,39.0,0.0,0.0,0.0
Barnabás Bese,hu HUN,"DF,MF",OH Leuven,26-300,1994,12.0,7.0,587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,2.0,1.0,50.0,0.31,0.15,0.0,0.0,0.0,3.0,9.0,0.0,7.0,19.0,6.0,0.0,0.0,0.0
Roman Bezus,ua UKR,"MF,FW",Gent,30-157,1990,16.0,9.0,839.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.21,0.21,0.0,0.21,9.3,19.0,4.0,21.1,2.04,0.43,0.0,0.0,0.0,16.0,33.0,2.0,15.0,8.0,10.0,0.0,0.0,0.0
Giulian Biancone,fr FRA,"DF,MF",Cercle Brugge,20-336,2000,14.0,13.0,1190.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,5.0,1.0,20.0,0.38,0.08,0.0,0.0,0.0,25.0,13.0,0.0,54.0,13.0,28.0,0.0,0.0,0.0
William Bianda,fr FRA,DF,Zulte Waregem,20-306,2000,7.0,6.0,486.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.4,4.0,2.0,50.0,0.74,0.37,0.0,0.0,1.0,7.0,4.0,0.0,7.0,5.0,5.0,0.0,0.0,0.0
Lucas Bijker,nl NED,DF,Mechelen,27-363,1993,22.0,22.0,1935.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,6.0,2.0,33.3,0.28,0.09,0.0,0.0,0.0,21.0,17.0,1.0,33.0,31.0,32.0,0.0,0.0,0.0
Djihad Bizimana,rw RWA,MF,Waasland-Bev,24-080,1996,6.0,3.0,311.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.0,2.0,66.7,0.87,0.58,0.0,0.0,0.0,4.0,4.0,1.0,3.0,5.0,3.0,0.0,0.0,0.0
Eric Bocat,fr FRA,"DF,MF",Excel Mouscron,21-229,1999,8.0,8.0,655.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,7.3,1.0,0.0,0.0,0.14,0.0,0.0,0.0,1.0,10.0,6.0,0.0,9.0,18.0,9.0,0.0,0.0,0.0
Arnaud Bodart,be BEL,GK,Standard Liège,22-356,1998,28.0,28.0,2520.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,28.0,2.0,1.0,50.0,0.07,0.04,0.5,1.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Merveille Bokadi,cd COD,"DF,MF",Standard Liège,28-285,1992,27.0,24.0,2197.0,4.0,1.0,0.0,0.0,2.0,0.0,0.16,0.04,0.2,0.16,0.2,24.4,22.0,7.0,31.8,0.9,0.29,0.18,0.57,0.0,19.0,25.0,1.0,7.0,45.0,29.0,0.0,0.0,0.0
Sinan Bolat,tr TUR,GK,Gent,32-180,1988,21.0,21.0,1890.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Jonathan Bolingi,cd COD,FW,Antwerp,26-245,1994,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleksandar Boljević,me MNE,FW,Standard Liège,25-080,1995,6.0,3.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,6.0,0.0,0.0,1.64,0.0,0.0,0.0,0.0,2.0,9.0,1.0,20.0,1.0,3.0,0.0,0.0,0.0
Aleksandar Boljević,me MNE,FW,Eupen,25-080,1995,4.0,3.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,5.0,1.0,20.0,1.72,0.34,0.0,0.0,0.0,4.0,5.0,0.0,12.0,3.0,1.0,0.0,0.0,0.0
Theo Bongonda,be BEL,"FW,MF",Genk,25-102,1995,24.0,23.0,1964.0,12.0,2.0,1.0,2.0,3.0,1.0,0.55,0.09,0.64,0.5,0.6,21.8,71.0,33.0,46.5,3.25,1.51,0.15,0.33,0.0,24.0,70.0,2.0,88.0,7.0,18.0,0.0,0.0,0.0
