player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Jordan Marié,fr FRA,MF,Dijon,29-139,1991,14.0,7.0,668.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,8.0,1.0,12.5,1.08,0.13,0.0,0.0,0.0,6.0,2.0,0.0,3.0,7.0,17.0,0.0,0.0,0.0
Guillermo Maripán,cl CHI,DF,Monaco,26-285,1994,16.0,10.0,1037.0,4.0,1.0,0.0,0.0,2.0,0.0,0.35,0.09,0.43,0.35,0.43,11.5,9.0,5.0,55.6,0.78,0.43,0.44,0.8,0.0,6.0,5.0,0.0,1.0,14.0,9.0,0.0,1.0,0.0
Marquinhos,br BRA,DF,Paris S-G,26-277,1994,15.0,14.0,1228.0,1.0,0.0,0.0,0.0,1.0,0.0,0.07,0.0,0.07,0.07,0.07,13.6,9.0,6.0,66.7,0.66,0.44,0.11,0.17,0.0,8.0,4.0,0.0,1.0,14.0,12.0,0.0,0.0,0.0
Jonas Martin,fr FRA,MF,Rennes,30-312,1990,10.0,4.0,362.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,2.0,7.0,10.0,0.0,0.0,0.0
Pablo Martinez,fr FRA,DF,Nîmes,31-360,1989,7.0,6.0,540.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.17,0.17,0.0,0.17,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0
Gelson Martins,pt POR,"MF,FW",Monaco,25-280,1995,18.0,17.0,1295.0,2.0,2.0,0.0,0.0,3.0,0.0,0.14,0.14,0.28,0.14,0.28,14.4,22.0,8.0,36.4,1.53,0.56,0.09,0.25,0.0,20.0,33.0,4.0,25.0,9.0,21.0,1.0,0.0,0.0
Sylvain Marveaux,fr FRA,"MF,FW",Lorient,34-306,1986,9.0,2.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,5.0,1.0,20.0,2.25,0.45,0.0,0.0,0.0,2.0,7.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0
Pape Matar Sarr,sn SEN,MF,Metz,18-154,2002,9.0,6.0,502.0,2.0,0.0,0.0,0.0,2.0,0.0,0.36,0.0,0.36,0.36,0.36,5.6,8.0,4.0,50.0,1.43,0.72,0.25,0.5,0.0,9.0,8.0,1.0,0.0,12.0,6.0,0.0,0.0,0.0
Eliot Matazo,be BEL,MF,Monaco,19-000,2002,5.0,1.0,117.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,1.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0
Chrislain Matsima,fr FRA,DF,Monaco,18-276,2002,6.0,3.0,335.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,4.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0
Tony Mauricio,fr FRA,MF,Lens,26-330,1994,18.0,1.0,349.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.77,0.77,0.0,0.77,3.9,11.0,2.0,18.2,2.84,0.52,0.0,0.0,0.0,17.0,5.0,0.0,5.0,1.0,9.0,0.0,0.0,0.0
Stephy Mavididi,eng ENG,"FW,MF",Montpellier,22-260,1998,22.0,11.0,1032.0,4.0,0.0,0.0,0.0,3.0,0.0,0.35,0.0,0.35,0.35,0.35,11.5,16.0,8.0,50.0,1.4,0.7,0.25,0.5,0.0,18.0,14.0,2.0,9.0,7.0,6.0,0.0,0.0,0.0
Youssef Maziz,fr FRA,"MF,FW",Metz,22-236,1998,9.0,2.0,206.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,6.0,0.0,0.0,2.62,0.0,0.0,0.0,0.0,2.0,5.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0
