player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Ricardo Ferreira,pt POR,DF,SC Farense,28-078,1992,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricardo Abel Barbosa Ferreira,pt POR,GK,Portimonense,31-070,1989,4.0,4.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Facundo Ferreyra,ar ARG,FW,Benfica,29-334,1991,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Diogo Figueiras,pt POR,MF,Famalicão,29-225,1991,3.0,1.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Afonso Figueiredo,pt POR,DF,Moreirense,28-036,1993,10.0,8.0,631.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,100.0,0.14,0.14,0.0,0.0,0.0,9.0,10.0,0.0,13.0,9.0,2.0,0.0,0.0,0.0
Tiago Fonseca Morais,pt POR,FW,Boavista,17-161,2003,2.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rúben Fonseca,pt POR,FW,Tondela,20-353,2000,3.0,1.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,2.0,0.0,0.0,2.95,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Lyle Foster,za RSA,FW,Vitória,20-161,2000,3.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,33.3,3.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
Gonçalo Franco,pt POR,MF,Moreirense,20-086,2000,13.0,2.0,272.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,50.0,0.66,0.33,0.0,0.0,0.0,5.0,7.0,0.0,2.0,8.0,6.0,0.0,0.0,0.0
Fransérgio,br BRA,MF,Braga,30-116,1990,15.0,13.0,1191.0,4.0,1.0,0.0,0.0,5.0,1.0,0.3,0.08,0.38,0.3,0.38,13.2,19.0,8.0,42.1,1.44,0.6,0.21,0.5,0.0,34.0,30.0,1.0,11.0,12.0,16.0,0.0,0.0,0.0
Rúben Freitas,pt POR,DF,Nacional,28-040,1993,12.0,11.0,965.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.19,0.19,0.0,0.19,10.7,3.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,7.0,7.0,1.0,29.0,21.0,8.0,0.0,0.0,0.0
Kanya Fujimoto,jp JPN,"FW,MF",Gil Vicente FC,21-225,1999,11.0,4.0,369.0,1.0,1.0,0.0,0.0,0.0,0.0,0.24,0.24,0.49,0.24,0.49,4.1,4.0,2.0,50.0,0.98,0.49,0.25,0.5,0.0,11.0,3.0,0.0,15.0,4.0,5.0,0.0,0.0,0.0
Francois-Xavier Fumu Tamuzo,fr FRA,FW,Marítimo,25-314,1995,8.0,1.0,242.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,3.0,2.0,66.7,1.12,0.74,0.0,0.0,0.0,3.0,4.0,0.0,9.0,1.0,3.0,0.0,0.0,0.0
Gabriel,br BRA,MF,Benfica,27-146,1993,11.0,6.0,641.0,1.0,1.0,0.0,0.0,3.0,0.0,0.14,0.14,0.28,0.14,0.28,7.1,6.0,3.0,50.0,0.84,0.42,0.17,0.33,0.0,13.0,20.0,0.0,5.0,23.0,8.0,0.0,0.0,0.0
Nicolás Gaitán,ar ARG,FW,Braga,32-354,1988,4.0,1.0,132.0,1.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.68,0.68,0.68,1.5,3.0,1.0,33.3,2.05,0.68,0.33,1.0,0.0,5.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0
Jefferson Galego,br BRA,MF,Moreirense,23-313,1997,8.0,0.0,112.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.0,1.0,100.0,0.8,0.8,0.0,0.0,0.0,4.0,5.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
