player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Robbie Brady,ie IRL,MF,Burnley,29-047,1992,17.0,12.0,1004.0,1.0,1.0,0.0,0.0,3.0,0.0,0.09,0.09,0.18,0.09,0.18,11.2,15.0,5.0,33.3,1.34,0.45,0.07,0.2,0.0,21.0,9.0,2.0,25.0,9.0,11.0,0.0,0.0,0.0
Rhian Brewster,eng ENG,FW,Sheffield Utd,20-335,2000,18.0,7.0,738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,14.0,4.0,28.6,1.71,0.49,0.0,0.0,0.0,11.0,8.0,4.0,5.0,4.0,2.0,0.0,0.0,0.0
Josh Brownhill,eng ENG,MF,Burnley,25-073,1995,21.0,20.0,1781.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,21.0,2.0,9.5,1.06,0.1,0.0,0.0,0.0,25.0,21.0,0.0,6.0,34.0,19.0,0.0,0.0,0.0
Joe Bryan,eng ENG,"DF,FW",Fulham,27-166,1993,11.0,5.0,452.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,25.0,0.8,0.2,0.0,0.0,0.0,6.0,5.0,0.0,15.0,9.0,7.0,1.0,1.0,0.0
Kean Bryan,eng ENG,DF,Sheffield Utd,24-121,1996,7.0,6.0,475.0,1.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,5.3,1.0,1.0,100.0,0.19,0.19,1.0,1.0,0.0,6.0,0.0,0.0,9.0,10.0,7.0,0.0,0.0,1.0
Oliver Burke,sco SCO,FW,Sheffield Utd,23-329,1997,17.0,11.0,939.0,1.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.19,0.1,0.19,10.4,22.0,6.0,27.3,2.11,0.58,0.05,0.17,0.0,22.0,6.0,3.0,14.0,2.0,7.0,0.0,0.0,0.0
Dan Burn,eng ENG,DF,Brighton,28-297,1992,18.0,15.0,1382.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,12.0,3.0,25.0,0.78,0.2,0.0,0.0,0.0,25.0,4.0,4.0,26.0,16.0,8.0,0.0,1.0,1.0
David Button,eng ENG,GK,West Brom,32-003,1989,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oskar Buur,dk DEN,DF,Wolves,22-336,1998,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willy Caballero,ar ARG,GK,Chelsea,39-155,1981,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Cahill,eng ENG,DF,Crystal Palace,35-073,1985,11.0,11.0,990.0,1.0,0.0,0.0,0.0,1.0,0.0,0.09,0.0,0.09,0.09,0.09,11.0,4.0,1.0,25.0,0.36,0.09,0.25,1.0,0.0,5.0,2.0,2.0,0.0,6.0,3.0,0.0,0.0,0.0
Tom Cairney,sco SCO,MF,Fulham,30-041,1991,10.0,9.0,759.0,1.0,1.0,0.0,0.0,2.0,0.0,0.12,0.12,0.24,0.12,0.24,8.4,12.0,4.0,33.3,1.42,0.47,0.08,0.25,0.0,4.0,18.0,1.0,18.0,1.0,4.0,1.0,0.0,0.0
