player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Roman Minayev,ru RUS,FW,Tambov,23-068,1997,1.0,1.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.0,2.0,100.0,3.1,3.1,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Roman Minayev,ru RUS,FW,Arsenal Tula,23-068,1997,4.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleksei Miranchuk,ru RUS,MF,Loko Moscow,25-136,1995,4.0,4.0,304.0,2.0,1.0,0.0,0.0,0.0,0.0,0.59,0.3,0.89,0.59,0.89,3.4,9.0,5.0,55.6,2.66,1.48,0.22,0.4,0.0,1.0,7.0,0.0,26.0,1.0,2.0,0.0,0.0,0.0
Anton Miranchuk,ru RUS,"MF,FW",Loko Moscow,25-136,1995,17.0,13.0,1191.0,4.0,4.0,3.0,5.0,0.0,0.0,0.3,0.3,0.6,0.08,0.38,13.2,37.0,12.0,32.4,2.8,0.91,0.03,0.08,0.0,20.0,32.0,3.0,83.0,8.0,11.0,0.0,0.0,0.0
Reziuan Mirzov,ru RUS,"MF,FW",FC Khimki,27-253,1993,8.0,6.0,585.0,4.0,0.0,0.0,0.0,3.0,0.0,0.62,0.0,0.62,0.62,0.62,6.5,20.0,8.0,40.0,3.08,1.23,0.2,0.5,0.0,3.0,13.0,2.0,9.0,3.0,5.0,0.0,0.0,0.0
Reziuan Mirzov,ru RUS,"FW,MF",Spartak Moscow,27-253,1993,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danijel Miškić,hr CRO,MF,Ural,27-142,1993,18.0,15.0,1258.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.07,0.07,0.0,0.07,14.0,11.0,2.0,18.2,0.79,0.14,0.0,0.0,0.0,15.0,13.0,2.0,8.0,19.0,21.0,0.0,0.0,0.0
Pavel Mogilevets,ru RUS,MF,FC Khimki,28-036,1993,6.0,1.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,3.0,4.0,0.0,0.0,0.0
Pavel Mogilevets,ru RUS,MF,Rubin Kazan,28-036,1993,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Nikola Moro,hr CRO,MF,Dynamo Mosc,22-355,1998,16.0,11.0,1082.0,2.0,0.0,1.0,1.0,2.0,0.0,0.17,0.0,0.17,0.08,0.08,12.0,20.0,7.0,35.0,1.66,0.58,0.05,0.14,0.0,19.0,14.0,0.0,11.0,31.0,17.0,0.0,0.0,0.0
Grigori Morozov,ru RUS,DF,Dynamo Mosc,26-269,1994,3.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
Grigori Morozov,ru RUS,"DF,MF",Ufa,26-269,1994,5.0,5.0,415.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.22,0.22,0.0,0.22,4.6,1.0,0.0,0.0,0.22,0.0,0.0,0.0,1.0,7.0,2.0,0.0,17.0,10.0,3.0,0.0,0.0,0.0
Victor Moses,ng NGA,MF,Spartak Moscow,30-080,1990,10.0,9.0,760.0,1.0,0.0,0.0,0.0,2.0,0.0,0.12,0.0,0.12,0.12,0.12,8.4,10.0,4.0,40.0,1.18,0.47,0.1,0.25,0.0,19.0,17.0,1.0,33.0,10.0,8.0,0.0,0.0,0.0
Vladimir Moskvichev,ru RUS,MF,Dynamo Mosc,21-000,2000,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Andrei Mostovoy,ru RUS,"MF,FW",Zenit,23-117,1997,17.0,6.0,704.0,2.0,2.0,0.0,0.0,0.0,0.0,0.26,0.26,0.51,0.26,0.51,7.8,19.0,8.0,42.1,2.43,1.02,0.11,0.25,0.0,5.0,21.0,5.0,26.0,3.0,7.0,0.0,0.0,0.0
Filip Mrzljak,hr CRO,MF,Ufa,27-320,1993,6.0,4.0,419.0,1.0,0.0,0.0,0.0,3.0,0.0,0.21,0.0,0.21,0.21,0.21,4.7,7.0,3.0,42.9,1.5,0.64,0.14,0.33,0.0,10.0,8.0,1.0,10.0,3.0,15.0,0.0,0.0,0.0
Maksim Mukhin,ru RUS,"MF,DF",Loko Moscow,19-118,2001,3.0,2.0,205.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,7.0,4.0,0.0,0.0,0.0
Kamil Mullin,ru RUS,FW,Rotor Volgograd,27-056,1994,17.0,13.0,1177.0,3.0,0.0,0.0,0.0,1.0,0.0,0.23,0.0,0.23,0.23,0.23,13.1,23.0,9.0,39.1,1.76,0.69,0.13,0.33,0.0,17.0,9.0,4.0,13.0,2.0,0.0,0.0,0.0,0.0
Andrei Murnin,ru RUS,MF,FC Khimki,35-295,1985,4.0,2.0,167.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
Leon Musayev,ru RUS,MF,Zenit,22-036,1999,3.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leon Musayev,ru RUS,MF,Rubin Kazan,22-036,1999,1.0,1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0
Clinton N'Jie,cm CMR,"MF,FW",Dynamo Mosc,27-199,1993,16.0,14.0,960.0,3.0,0.0,0.0,0.0,3.0,0.0,0.28,0.0,0.28,0.28,0.28,10.7,21.0,12.0,57.1,1.97,1.13,0.14,0.25,0.0,13.0,8.0,15.0,19.0,5.0,3.0,0.0,0.0,0.0
Kirill Nababkin,ru RUS,DF,CSKA Moscow,34-175,1986,3.0,3.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,10.0,2.0,0.0,0.0,0.0
Elmir Nabiullin,ru RUS,"DF,MF",Sochi,25-359,1995,11.0,6.0,562.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.32,0.32,0.0,0.32,6.2,5.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,5.0,7.0,1.0,28.0,6.0,5.0,0.0,0.0,0.0
Ionuț Nedelcearu,ro ROU,DF,Ufa,24-311,1996,9.0,9.0,810.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.11,0.11,0.0,0.11,9.0,2.0,1.0,50.0,0.22,0.11,0.0,0.0,0.0,9.0,6.0,0.0,1.0,23.0,5.0,0.0,0.0,0.0
Anatoli Nemchenko,ru RUS,MF,Sochi,20-192,2000,2.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
